Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
Q9NRG9	reviewed	Aladin (Adracalin)	AAAS ADRACALA GL003	AAAS	ADRACALA	Homo sapiens (Human)	9606	546
P49588	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS	AARS		Homo sapiens (Human)	9606	968
Q5JTZ9	reviewed	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	AARS2 AARSL KIAA1270	AARS2	AARSL KIAA1270	Homo sapiens (Human)	9606	985
Q9UDR5	reviewed	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	AASS		Homo sapiens (Human)	9606	926
Q86UK0	reviewed	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	ABCA12 ABC12	ABCA12	ABC12	Homo sapiens (Human)	9606	2595
Q99758	reviewed	ATP-binding cassette sub-family A member 3 (ABC-C transporter) (ATP-binding cassette transporter 3) (ATP-binding cassette 3)	ABCA3 ABC3	ABCA3	ABC3	Homo sapiens (Human)	9606	1704
P78363	reviewed	Retinal-specific ATP-binding cassette transporter (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Stargardt disease protein)	ABCA4 ABCR	ABCA4	ABCR	Homo sapiens (Human)	9606	2273
Q8IZY2	reviewed	ATP-binding cassette sub-family A member 7 (ABCA-SSN) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	ABCA7		Homo sapiens (Human)	9606	2146
P08183	reviewed	Multidrug resistance protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD antigen CD243)	ABCB1 MDR1 PGY1	ABCB1	MDR1 PGY1	Homo sapiens (Human)	9606	1280
O95342	reviewed	Bile salt export pump (ATP-binding cassette sub-family B member 11)	ABCB11 BSEP	ABCB11	BSEP	Homo sapiens (Human)	9606	1321
P21439	reviewed	Phosphatidylcholine translocator ABCB4 (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (EC 7.6.2.2) (P-glycoprotein 3)	ABCB4 MDR3 PGY3	ABCB4	MDR3 PGY3	Homo sapiens (Human)	9606	1286
Q9NP58	reviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT	ABCB6	MTABC3 PRP UMAT	Homo sapiens (Human)	9606	842
O75027	reviewed	ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7	ABCB7	ABC7	Homo sapiens (Human)	9606	752
O95255	reviewed	Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E)	ABCC6 ARA MRP6	ABCC6	ARA MRP6	Homo sapiens (Human)	9606	1503
O60706	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	ABCC9	SUR2	Homo sapiens (Human)	9606	1549
P33897	reviewed	ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	ABCD1	ALD	Homo sapiens (Human)	9606	745
P28288	reviewed	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	ABCD3	PMP70 PXMP1	Homo sapiens (Human)	9606	659
O14678	reviewed	ATP-binding cassette sub-family D member 4 (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	ABCD4	PXMP1L	Homo sapiens (Human)	9606	606
Q9H222	reviewed	ATP-binding cassette sub-family G member 5 (Sterolin-1)	ABCG5	ABCG5		Homo sapiens (Human)	9606	651
Q9H221	reviewed	ATP-binding cassette sub-family G member 8 (Sterolin-2)	ABCG8	ABCG8		Homo sapiens (Human)	9606	673
Q8N2K0	reviewed	Monoacylglycerol lipase ABHD12 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 12)	ABHD12 C20orf22	ABHD12	C20orf22	Homo sapiens (Human)	9606	398
Q8WTS1	reviewed	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)	ABHD5 NCIE2 CGI-58	ABHD5	NCIE2	Homo sapiens (Human)	9606	349
Q13085	reviewed	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACA ACAC ACC1 ACCA	ACACA	ACAC ACC1 ACCA	Homo sapiens (Human)	9606	2346
P28330	reviewed	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	ACADL	ACADL		Homo sapiens (Human)	9606	430
P11310	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	ACADM		Homo sapiens (Human)	9606	421
P16219	reviewed	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	ACADS	ACADS		Homo sapiens (Human)	9606	412
P45954	reviewed	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	ACADSB	ACADSB		Homo sapiens (Human)	9606	432
P49748	reviewed	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	ACADVL VLCAD	ACADVL	VLCAD	Homo sapiens (Human)	9606	655
P24752	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	ACAT1	ACAT MAT	Homo sapiens (Human)	9606	427
P35610	reviewed	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	SOAT1	ACACT ACACT1 ACAT ACAT1 SOAT STAT	Homo sapiens (Human)	9606	550
Q99798	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	ACO2		Homo sapiens (Human)	9606	780
Q15067	reviewed	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX)	ACOX1 ACOX	ACOX1	ACOX	Homo sapiens (Human)	9606	660
P11117	reviewed	Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)	ACP2	ACP2		Homo sapiens (Human)	9606	423
P13686	reviewed	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase)	ACP5	ACP5		Homo sapiens (Human)	9606	325
Q9BZG2	reviewed	Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)	ACP4 ACPT	ACP4	ACPT	Homo sapiens (Human)	9606	426
O60488	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	ACSL4	ACS4 FACL4 LACS4	Homo sapiens (Human)	9606	711
